Constructors,constructor_mean_GMS,puzzle_count_GMS
A. Tariq,-23.0,1
Aaron M. Rosenberg,2.5,4
Aaron Ullman,-5.0,1
Ada Nicolle,-33.0,3
Adam Aaronson,-18.38,7
Adam Aaronson and Christopher Adams,-5.0,1
Adam Aaronson and Jack Joshi and Jackson Janes,-26.0,1
Adam Aaronson and Ricky Cruz,-32.0,1
Adam Fromm,5.75,3
Adam G. Perl,16.0,1
Adam Simon Levine,-2.0,1
Adam Simpson,2.0,1
Adam Vincent,-12.67,3
Adam Wagner,-8.69,13
Adam Wagner and Katherine Baicker ,-14.0,1
Adam Wagner and Michael Lieberman and Rafael Musa,-33.0,1
Addison Snell,-28.67,3
Adesina O. Koiki,-16.0,2
Adrian Johnson,-8.2,5
Adrian Kabigting,2.0,1
Adrienne Atkins,-18.0,1
Ahmed  Bayoumi,-23.0,1
Ailee Yoshida,-16.0,1
Aimee Lucido,-15.89,9
Alan Arbesfeld,10.17,12
Alan Derkazarian,-1.0,1
Alan Massengill,-27.0,1
Alan Siegel,-14.0,2
Alex Bajcz,-11.2,5
Alex Eaton-Salners,2.18,36
Alex Eaton-Salners and Ed Salners,-32.0,1
Alex Eaton-Salners and Queena Mewers,-20.0,2
Alex Eylar,-18.5,2
Alex Rosen,-19.0,3
Alex Tomlinson,-17.0,1
Alex Vratsanos,1.6,5
Alexander Liebeskind,-15.0,3
Alexandria Mason,2.0,1
Ali Gascoigne,-12.33,3
Alice Liang,-2.0,1
Alina Abidi,-24.0,2
Alison Perch,-36.0,1
Amanda Chung and Karl Ni,-16.8,10
Amanda Rafkin,-1.0,2
Amie Walker,3.0,1
Andrea Carla Michaels,-9.25,4
Andrea Carla Michaels and Alan Massengill ,-12.0,3
Andrea Carla Michaels and Brian Thomas,-25.0,2
Andrea Carla Michaels and Christina Iverson,-24.5,2
Andrea Carla Michaels and David Litman,-24.0,1
Andrea Carla Michaels and Doug Peterson,-13.0,1
Andrea Carla Michaels and Kevin Christian ,-8.6,5
Andrea Carla Michaels and Leslie Young ,-18.0,2
Andrea Carla Michaels and Mark Diehl,-16.5,2
Andrea Carla Michaels and Michael Lieberman,-17.0,1
Andrea Carla Michaels and Michael Wiesenberg,-1.0,1
Andrea Carla Michaels and Olivia Mitra Framke,-37.0,1
Andrea Carla Michaels and Tony Orbach ,-10.0,1
Andrea Carla Michaels and Victor Barocas,-1.0,1
Andrew Chaikin,-5.67,3
Andrew Kingsley,-13.0,7
Andrew Kingsley and Garrett Chalfin,-32.0,1
Andrew Kingsley and John Lieb,-21.33,3
Andrew Linzer,-25.0,2
Andrew Ries,-1.81,16
Andrew Ries and Caitlin Reid,-8.0,2
Andrew Zhou,-3.0,3
Andy Kravis,-12.0,5
Andy Kravis and Victor Barocas,-31.0,1
Ann Shan,-19.0,1
Anne Grae Martin,-8.0,2
Anne Marie Crinnion,4.0,1
Anne Rowley,9.0,1
Anthony Gisonda,-4.0,1
Ari Richter,-22.0,2
Ashish Vengsarkar,12.33,3
Ashish Vengsarkar and Narayan Venkatasubramanyan,-4.0,1
Ashleigh Silveira and Nick Shephard,-14.0,1
Ashton Anderson,-15.0,1
Ashton Anderson and Sawyer Tabony,-22.0,1
August Lee-Kovach,-11.33,3
August Miller,6.5,2
Barbara Lin,-13.64,11
Ben Gross and James Somers,-30.0,1
Ben Pall,-17.0,1
Ben Tolkin,-48.0,1
Ben Zoon,-1.0,1
Benjamin Fink,-13.0,1
Benjamin Kramer,-7.5,2
Benji Goldsmith,-29.0,1
Billy Bratton,-18.0,5
Billy Bratton and Clay Haddock,-17.0,1
Billy Ouska,-16.5,2
Blake Slonecker,-10.33,6
Brad Wiegmann,4.83,5
Brad Wilber,-8.0,1
Brad Wilber and Alex Rosen,16.0,2
Brad Wilber and Doug Peterson,10.5,2
Brad Wilber and John Lieb,14.0,1
Brad Wilber and Kevin Christian,-7.0,1
Brad Wilber and Sam Buchbinder,5.0,1
Brad Wilber and Victor Barocas,-5.0,1
Brandon Koppy,-3.53,15
Brendan Emmett Quigley,8.0,9
Brendan Emmett Quigley and Ben Zimmer,-11.5,2
Brendan Emmett Quigley and Brooke Husic,7.0,1
Brendan Emmett Quigley and Mangesh Ghogre ,41.0,1
Brendan Emmett Quigley and Paolo Pasco,13.0,1
Brian Kulman,-30.0,1
Brian Thomas,-17.86,7
Brianne McManis,4.0,1
Brooke Husic,-8.67,3
Brooke Husic and Ada Nicolle,-21.0,1
Brooke Husic and Adam Wagner,-6.0,1
Brooke Husic and Brian Thomas,-19.0,3
Brooke Husic and Claire Rimkus,-12.0,1
Brooke Husic and Hoang-Kim Vu,4.0,1
Brooke Husic and Nam Jin Yoon,-10.0,1
Brooke Husic and Olivia Mitra Framke,5.0,1
Brooke Husic and Sid Sivakumar,-10.0,2
Brooke Husic and Yacob Yonas,2.0,1
Bruce Greig,-17.0,1
Bruce Haight,0.85,26
Bryant White,2.0,1
Bryce Hwang and Rahul Sridhar and Akshay Ravikumar,-18.0,1
Byron Walden,4.39,17
Byron Walden and Harrison Walden,-15.0,1
Byron Walden and Joel Fagliano,1.0,1
Byron Walden and Sam Ezersky,2.0,1
Byron Walden and Sam Ezersky ,-11.0,1
Caitlin Reid,-14.22,9
